input,output,apps
how much is my balance? , balance,"quickbooks,stripe"
how much money did we make today,todays_earning,"quickbooks,stripe"
how much income did we make today,todays_earning,"quickbooks,stripe"
how much my todays earning,todays_earning,"quickbooks,stripe"
todays earning,todays_earning,"quickbooks,stripe"
today earning,todays_earning,"quickbooks,stripe"
What are my expenses ?,total_expenses,"quickbooks,stripe"
Do I have any expenses ?,total_expenses,"quickbooks,stripe"
total expenses of this month,this_month_total_expenses,"quickbooks,stripe"
What are all of our transactions,total_transactions,"quickbooks,stripe"
Do we have any transactions,total_transactions,"quickbooks,stripe"
Do we have any transactions today,todays_transactions,"quickbooks,stripe"
Tell me everything we have on {name},customer_info,"quickbooks,stripe"
What’s in {name} file,customer_file,"quickbooks,stripe"
Details on {name} ,customer_details,"quickbooks,stripe"
{name} quickbooks ,customer_quickbook_details,"quickbooks,stripe"
How many payments did we have today?,todays_payment,"quickbooks,stripe"
How many customers did we have today ?,todays_customer,"quickbooks,stripe"
